"ID","Epic","Feature","User Story (Short Desc)","User Story (Detail)","Acceptance Criteria","Trạng thái","Việc cần phát triển","Ưu tiên","Thứ tự thực hiện","Tên nhóm","Phụ thuộc"
"PM-003","EP-01 Quản lý Dự án & Phân quyền","Vòng đời dự án","Chuyển trạng thái dự án theo vòng đời chuẩn","Là một PMO, tôi muốn dự án chỉ chuyển trạng thái theo luồng Draft đến Planning đến Active đến Closed đến Archived, để trạng thái danh mục phản ánh đúng thực tế.","AC1: Hệ thống có đủ 5 trạng thái chuẩn, trong đó Draft là trạng thái khởi tạo mặc định.
AC2: Có bảng định nghĩa transition hợp lệ giữa các trạng thái.
AC3: Gọi API chuyển sang trạng thái không hợp lệ trả lỗi kèm mã lỗi rõ ràng.","NGOÀI PHẠM VI","ĐƯA RA KHỎI PHẠM VI SCRUM: đây là thay đổi ở cấp danh mục dự án, ảnh hưởng toàn bộ dự án PMI đang chạy. Hiện trạng thái là category tự do (Planned, Active, On Hold, Completed, Cancelled) không có state machine. Nếu muốn làm, đưa vào backlog riêng của phía PMI.","—","—","Ngoài phạm vi Scrum",""
"PM-004","EP-01 Quản lý Dự án & Phân quyền","Vòng đời dự án","Lưu trữ (Archive) dự án đã đóng","Là một PMO, tôi muốn lưu trữ dự án đã kết thúc để danh sách làm việc hằng ngày chỉ còn dự án đang sống.","AC1: Có hành động Archive trên dự án ở trạng thái Closed.
AC2: Dự án đã Archive bị ẩn khỏi danh sách mặc định.
AC3: Dự án đã Archive ở chế độ chỉ đọc.","NGOÀI PHẠM VI","ĐƯA RA KHỎI PHẠM VI SCRUM: ảnh hưởng toàn bộ danh mục dự án gồm cả PMI. Đưa vào backlog riêng của phía PMI nếu cần.","—","—","Ngoài phạm vi Scrum",""
"PM-005","EP-01 Quản lý Dự án & Phân quyền","Phân quyền vai trò Scrum","Bộ vai trò Scrum chuẩn cho dự án Scrum","Là một Scrum Master, tôi muốn dự án Scrum có sẵn các vai trò Product Owner, Scrum Master và Developer, để không phải tự dựng lại ma trận quyền cho từng dự án mới.","AC1: Dự án khung Scrum tự động có các vai trò: Product Owner, Scrum Master, Developer, Viewer.
AC2: Mỗi vai trò được gán sẵn bộ quyền mặc định đúng trách nhiệm Scrum.
AC3: Product Owner quản trị Backlog và nghiệm thu; Scrum Master quản trị Sprint, workflow và Retro; Developer cập nhật thẻ và log giờ; Viewer chỉ đọc.
AC4: Dự án khung PMI KHÔNG bị ảnh hưởng, giữ nguyên bộ vai trò Lead, Member, Observer.","CHƯA CÓ","Role hệ thống hiện là Admin, PMO, Project Manager, Team Lead, Member, Viewer; role dự án seed cứng là Lead, Member, Observer. Không tồn tại Product Owner, Scrum Master, Developer. Phần seed được gộp vào PM-094; hạng mục này lo phần ma trận quyền chi tiết và màn hình quản lý.","P0","G02-01","G02 Nền tảng Scrum: vai trò & loại thẻ","PM-094"
"PM-006","EP-01 Quản lý Dự án & Phân quyền","Phân quyền vai trò Scrum","Gán vai trò cho thành viên dự án","Là một Scrum Master, tôi muốn gán vai trò cụ thể cho từng thành viên trong dự án, để quyền hạn phản ánh đúng trách nhiệm của họ trong nhóm.","AC1: Màn hình thành viên dự án cho phép chọn vai trò từ danh sách vai trò của dự án đó.
AC2: Đổi vai trò có hiệu lực ngay ở lần gọi API kế tiếp.
AC3: Mỗi thành viên có đúng một vai trò trong một dự án.
AC4: Không thể gỡ vai trò của người cuối cùng giữ quyền quản trị dự án.","ĐÃ CÓ","Không. Đã có bảng project_members.project_role_id, API quản lý thành viên và tab Roles & Permissions.","—","—","—",""
"PM-007","EP-01 Quản lý Dự án & Phân quyền","Phân quyền vai trò Scrum","Chuẩn hóa thông báo Access Denied","Là một Admin, tôi muốn thông báo từ chối quyền dùng đúng một cách diễn đạt trên toàn hệ thống.","AC1: Thiếu quyền trả HTTP 403 kèm thông báo Access Denied và mã lỗi.
AC2: Giao diện ẩn hoặc vô hiệu hóa nút thao tác mà người dùng không có quyền.","NGOÀI PHẠM VI","ĐƯA RA KHỎI PHẠM VI SCRUM: thay đổi chuỗi thông báo trên toàn hệ thống, thuần thẩm mỹ, không phục vụ mục tiêu Scrum. Cơ chế chặn quyền hiện đã đầy đủ và đúng (403 với thông điệp cụ thể).","—","—","Ngoài phạm vi Scrum",""
"PM-008","EP-02 Backlog & Quản lý Phiên bản","Cấu trúc phân cấp","Tạo cây công việc phân cấp","Là một Product Owner, tôi muốn tổ chức công việc thành cây phân cấp nhiều tầng, để nhìn được cả bức tranh lớn lẫn chi tiết thực thi.","AC1: Tạo được node con dưới node cha, độ sâu tối đa 5 cấp.
AC2: Vượt quá 5 cấp trả lỗi rõ ràng.
AC3: Node cha tự động cập nhật progress và effort khi node con thay đổi.
AC4: Cây 10000 node hiển thị dưới 500ms.","ĐÃ CÓ","Không. Đã có cây WBS materialized-path với LTree, giới hạn 5 cấp, và cơ chế rollup ở wbs_repository_rollup.go. Giới hạn 5 cấp vừa đủ cho phân cấp Epic đến Sub-task của Scrum.","—","—","—",""
"PM-009","EP-02 Backlog & Quản lý Phiên bản","Cấu trúc phân cấp","Bộ loại thẻ Scrum: Epic, Feature, Story, Task, Sub-task","Là một Product Owner, tôi muốn dự án Scrum có sẵn bộ loại thẻ đúng chuẩn, để bắt đầu làm việc ngay mà không phải tự khai báo lại từ đầu.","AC1: Dự án khung Scrum có sẵn 5 loại thẻ: Epic, Feature, Story, Task, Sub-task, mỗi loại có màu và icon riêng.
AC2: Loại thẻ Story được đánh dấu là loại thẻ mang Story Point VÀ là đơn vị được đưa vào Sprint.
AC3: Người dùng vẫn thêm, sửa, xóa được loại thẻ của riêng dự án mình.
AC4: Dự án khung PMI giữ nguyên bộ Phase, Milestone, Work Package.","CHƯA CÓ","Hạ tầng loại thẻ theo dự án (bảng project_wbs_node_types) đã có nhưng seed mặc định là Phase, Milestone, Work Package. Phần seed gộp vào PM-094. Hạng mục này lo phần đánh dấu ngữ nghĩa: loại thẻ nào là Story để các màn hình Scrum và quy tắc sprint membership nhận diện. QUAN TRỌNG: đây là tiền đề bắt buộc của PM-040.","P0","G02-02","G02 Nền tảng Scrum: vai trò & loại thẻ","PM-094"
"PM-010","EP-02 Backlog & Quản lý Phiên bản","Cấu trúc phân cấp","Ràng buộc phân cấp cha con theo loại thẻ","Là một Scrum Master, tôi muốn hệ thống chặn việc tạo sai thứ bậc, ví dụ tạo Epic bên trong Story, để cấu trúc backlog luôn nhất quán.","AC1: Với dự án Scrum, luật mặc định là Epic chứa Feature, Feature chứa Story, Story chứa Task, Task chứa Sub-task.
AC2: Tạo hoặc di chuyển node vi phạm luật trả lỗi kèm thông báo cụ thể.
AC3: Scrum Master sửa được bảng luật của dự án mình.
AC4: Dự án khung PMI giữ nguyên luật permissive hiện tại, không bị siết.","MỘT PHẦN","Bảng wbs_type_rules và API cấu hình đã có, nhưng luật mặc định là permissive toàn phần (cha nào cũng chứa con nào). Cần seed luật ràng buộc đúng thứ bậc CHỈ cho dự án Scrum.","P0","G02-03","G02 Nền tảng Scrum: vai trò & loại thẻ","PM-009"
"PM-011","EP-02 Backlog & Quản lý Phiên bản","Product Backlog","Xem Product Backlog của dự án","Là một Product Owner, tôi muốn xem toàn bộ hạng mục chưa được đưa vào Sprint ở một màn hình riêng, để quy hoạch thứ tự ưu tiên.","AC1: Backlog liệt kê các hạng mục chưa gán Sprint của dự án.
AC2: Có cả chế độ xem dạng bảng phẳng và dạng cây.
AC3: Có phân trang khi backlog vượt 100 hạng mục.","ĐÃ CÓ","Không. Đã có tab Backlog, panel Product Backlog cạnh board, và cả chế độ bảng lẫn cây. Lưu ý: sau PM-040 màn hình này sẽ trả về node loại Story thay vì node lá.","—","—","—",""
"PM-012","EP-02 Backlog & Quản lý Phiên bản","Product Backlog","Lọc nhanh backlog theo loại thẻ và trạng thái","Là một Product Owner, tôi muốn lọc nhanh backlog để tập trung vào nhóm hạng mục đang quan tâm.","AC1: Có bộ lọc theo Type và Status.
AC2: Có ô tìm kiếm theo tiêu đề.
AC3: Bộ lọc giữ nguyên khi chuyển tab và quay lại.","ĐÃ CÓ","Không. Đã có BacklogFilterPanel với filter Type, Status và search.","—","—","—",""
"PM-013","EP-02 Backlog & Quản lý Phiên bản","Product Backlog","Lọc backlog và bảng Scrum theo Epic hoặc Feature","Là một Product Owner, tôi muốn lọc backlog theo Epic hoặc Feature cha, để soi riêng phạm vi của một mảng tính năng khi refinement.","AC1: Có bộ lọc chọn Epic hoặc Feature cha ở cả màn hình Backlog và Scrum Board.
AC2: Chọn một Epic sẽ hiển thị toàn bộ hạng mục nằm trong nhánh cây của Epic đó, không chỉ con trực tiếp.
AC3: Bộ lọc kết hợp được với các bộ lọc khác.
AC4: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Bộ lọc hiện chỉ có Type và Status ở backlog, Type, Priority, Status, Assignee ở board. Cần thêm tham số lọc theo nhánh cây cha ở API và UI, tận dụng cột path của WBS.","P3","G10-01","G10 Hoàn thiện bộ lọc & phiên bản","PM-009"
"PM-014","EP-02 Backlog & Quản lý Phiên bản","Product Backlog","Lọc backlog và bảng Scrum theo Label","Là một thành viên nhóm, tôi muốn lọc thẻ theo Label, để nhóm các hạng mục cùng chủ đề dù nằm ở các Epic khác nhau.","AC1: Có bộ lọc đa chọn theo Label ở cả Backlog và Scrum Board.
AC2: Chọn nhiều label thì lọc theo quan hệ hoặc.
AC3: Danh sách label gợi ý lấy từ label thực tế đang dùng trong dự án.","CHƯA CÓ","Cột wbs_nodes.labels đã tồn tại và đã hiển thị trên thẻ (CardLabelChips) nhưng chưa có bộ lọc. Cần thêm tham số lọc label vào API backlog và sprint-items, thêm UI chọn label. Là bộ lọc thuần cộng thêm nên an toàn cho cả hai khung.","P3","G10-02","G10 Hoàn thiện bộ lọc & phiên bản",""
"PM-015","EP-02 Backlog & Quản lý Phiên bản","Product Backlog","Xem tổng Story Point của backlog","Là một Product Owner, tôi muốn thấy tổng Story Point còn tồn trong backlog, để ước lượng cần bao nhiêu Sprint mới giải phóng hết.","AC1: Panel và tab Backlog hiển thị dòng tổng số hạng mục và tổng Story Point.
AC2: Hạng mục chưa ước lượng Story Point được đếm riêng thành một chỉ số cảnh báo.
AC3: Tổng cập nhật ngay khi áp bộ lọc.
AC4: Chỉ tính ở cấp Story, không cộng trùng từ Task và Sub-task.
AC5: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Backlog hiện chỉ hiển thị số lượng hạng mục chưa gán sprint. Cần bổ sung trường tổng hợp trong response API backlog và hiển thị ở UI.","P3","G10-03","G10 Hoàn thiện bộ lọc & phiên bản","PM-040"
"PM-016","EP-02 Backlog & Quản lý Phiên bản","Backlog Refinement","Đánh dấu trạng thái tinh chỉnh của hạng mục backlog","Là một Product Owner, tôi muốn phân biệt rõ hạng mục nào mới ghi nhận, hạng mục nào đang tinh chỉnh và hạng mục nào đã sẵn sàng vào Sprint, để buổi Sprint Planning không mất thời gian bàn lại từ đầu.","AC1: Mỗi hạng mục backlog có trạng thái refinement với 3 giá trị: New, Ready for Refinement, Ready for Sprint.
AC2: Trạng thái refinement độc lập với trạng thái thực thi To Do, Doing, Done.
AC3: Màn hình Backlog cho phép lọc và nhóm theo trạng thái refinement.
AC4: Chỉ Product Owner và Scrum Master được chuyển hạng mục sang Ready for Sprint.
AC5: Chỉ áp dụng cho dự án khung Scrum; không thêm cột hay hành vi nào cho dự án PMI.","CHƯA CÓ","Grep refinement và Ready for Sprint toàn repo cho 0 kết quả. Cần thêm cột trạng thái refinement trên wbs_nodes hoặc bảng phụ; API cập nhật; UI lọc và nhóm; permission riêng cho bước duyệt sẵn sàng.","P1","G07-01","G07 Kỷ luật Backlog & DoD","PM-005"
"PM-017","EP-02 Backlog & Quản lý Phiên bản","Backlog Refinement","Cảnh báo hạng mục Ready for Sprint còn thiếu thông tin","Là một Scrum Master, tôi muốn hệ thống tự phát hiện hạng mục đã đánh dấu sẵn sàng nhưng còn thiếu Story Point hoặc DoD, để không đưa công việc mơ hồ vào Sprint.","AC1: Hạng mục ở trạng thái Ready for Sprint mà thiếu Story Point hoặc chưa có mục DoD nào sẽ hiển thị badge cảnh báo.
AC2: Rê chuột vào badge hiển thị danh sách thông tin còn thiếu.
AC3: Kéo hạng mục có cảnh báo vào Sprint sẽ hiện hộp thoại xác nhận và ghi nhận người xác nhận.
AC4: Bộ tiêu chí sẵn sàng cấu hình được ở cấp dự án.
AC5: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","AddNodesToSprint hiện chỉ chặn node có con, khác dự án hoặc đã gán sprint, không kiểm tra Story Point hay DoD. Cần xây bộ quy tắc readiness cấu hình được; API trả danh sách thiếu sót; badge và hộp thoại xác nhận ở UI.","P1","G07-02","G07 Kỷ luật Backlog & DoD","PM-016"
"PM-018","EP-02 Backlog & Quản lý Phiên bản","Release & Fix Version","Tạo và quản lý Release","Là một Product Owner, tôi muốn tạo các Release để đóng gói cụm tính năng chuẩn bị đưa lên môi trường thật.","AC1: Tạo được Release với tên, ngày dự kiến và ghi chú.
AC2: Tên Release là duy nhất trong phạm vi dự án.
AC3: Release có 2 trạng thái DRAFT và RELEASED.
AC4: Chỉ vai trò có quyền release mới tạo, sửa, xóa được.","ĐÃ CÓ","Không. Đã có bảng releases với ràng buộc UNIQUE(project_id, name), CHECK status, 5 permission riêng và UI đầy đủ.","—","—","—",""
"PM-019","EP-02 Backlog & Quản lý Phiên bản","Release & Fix Version","Gắn hạng mục đã hoàn thành vào Release","Là một Product Owner, tôi muốn gắn các hạng mục đã xong vào một Release, để biết chính xác phiên bản này gồm những gì.","AC1: Chỉ gắn được hạng mục có trạng thái thuộc nhóm Done.
AC2: Gắn hạng mục chưa hoàn thành trả lỗi rõ ràng.
AC3: Một hạng mục chỉ thuộc tối đa một Release.
AC4: Mỗi lần gắn được ghi vào lịch sử bất biến.","ĐÃ CÓ","Không. Đã có cột wbs_nodes.release_id, ràng buộc chỉ nhận item Done, và bảng release_item_history. Lưu ý: sau PM-040 truy vấn ứng viên gắn Release phải đổi từ node lá sang gốc sprint item.","—","—","—",""
"PM-020","EP-02 Backlog & Quản lý Phiên bản","Release & Fix Version","Gỡ hạng mục khỏi Release kèm lý do","Là một Product Owner, tôi muốn gỡ hạng mục khỏi Release khi phát hiện chưa đạt, và bắt buộc ghi lý do để truy vết về sau.","AC1: Gỡ hạng mục bắt buộc nhập lý do, để trống thì bị chặn.
AC2: Ràng buộc bắt buộc lý do được ép ở tầng cơ sở dữ liệu.
AC3: Hạng mục bị gỡ quay về trạng thái chưa thuộc Release nào.
AC4: Lịch sử ghi rõ ai gỡ, khi nào và vì sao.","ĐÃ CÓ","Không. Đã có API return items với reason bắt buộc và CHECK constraint ở DB.","—","—","—",""
"PM-021","EP-02 Backlog & Quản lý Phiên bản","Release & Fix Version","Chốt Release và đóng băng số liệu","Là một Product Owner, tôi muốn chốt Release khi đã lên môi trường thật, và số liệu của Release đó không bao giờ thay đổi nữa.","AC1: Chuyển Release sang RELEASED sẽ tạo bản snapshot số điểm và số hạng mục đã phát hành.
AC2: Snapshot chỉ tạo một lần cho mỗi Release.
AC3: Sau khi chốt, không gắn thêm hoặc gỡ hạng mục được nữa.
AC4: Báo cáo đọc từ snapshot nên số liệu quá khứ không bị trôi.","ĐÃ CÓ","Không. Đã có bảng release_report với UNIQUE(release_id) và báo cáo chỉ đọc từ snapshot.","—","—","—",""
"PM-022","EP-02 Backlog & Quản lý Phiên bản","Release & Fix Version","Gắn Fix Version cho Epic hoặc Feature chưa hoàn thành","Là một Product Owner, tôi muốn gắn nhãn phiên bản dự kiến cho Epic hoặc Feature ngay từ khi quy hoạch, để theo dõi tiến độ của cụm tính năng chuẩn bị phát hành.","AC1: Gắn được Fix Version cho Epic và Feature ở trạng thái bất kỳ.
AC2: Hệ thống phân biệt rõ phiên bản dự kiến và hạng mục đã phát hành.
AC3: Màn hình Release hiển thị tiến độ của phiên bản dự kiến theo tỷ lệ hạng mục con đã xong.
AC4: Chốt Release vẫn chỉ tính các hạng mục thực sự đã hoàn thành.
AC5: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Hiện chỉ attach được hạng mục có trạng thái Done. Cần tách 2 khái niệm phiên bản dự kiến và hạng mục đã phát hành; nới ràng buộc cho node có con; bổ sung tính tiến độ theo nhánh cây.","P3","G10-04","G10 Hoàn thiện bộ lọc & phiên bản","PM-009"
