"ID","Epic","Hạng mục","Vai trò thụ hưởng","Loại","MoSCoW","Đợt","Effort","Rủi ro gốc","Phụ thuộc","Giá trị nghiệp vụ","Tiêu chí chấp nhận (Given / When / Then)","Ghi chú kỹ thuật"
"TCK-B011","E03 Hạ tầng kiểm thử","Nhúng axe-core cục bộ, gỡ phụ thuộc CDN","QA","Kiểm thử","SHOULD","Đợt 0","S","R17","-","Test a11y hiện tự bỏ qua khi không tải được thư viện, có thể không chạy mà không ai biết","AC-1 [EC-0 happy]: Given không có kết nối internet; When chạy test a11y màn Danh mục; Then test vẫn chạy đầy đủ và không bỏ qua.
AC-2 [EC-11 failure]: Given thư viện a11y không nạp được vì bất kỳ lý do gì; When chạy test; Then test báo lỗi thay vì bỏ qua im lặng.","Thêm axe-core vào devDependencies"
"TCK-B012","E03 Hạ tầng kiểm thử","Làm mới template cơ sở dữ liệu kiểm thử","Đội phát triển","Hạ tầng","SHOULD","Đợt 0","S","R16","-","Đóng 19 lỗi giả trong phase 493 do bản sao DB test thiếu migration","AC-1 [EC-0 happy]: Given template DB test được làm mới; When chạy toàn bộ bộ test backend trên bản clone mới; Then 0 lỗi thuộc nhóm thiếu cột hoặc thiếu bảng.
AC-2 [EC-12 migration]: Given có migration mới được thêm; When chạy script làm mới; Then template được cập nhật tự động mà không cần thao tác tay.","Đóng carve-out CO-493-drift"
"TCK-B013","E03 Hạ tầng kiểm thử","Nâng độ phủ kiểm thử tầng repository ticket từ 40 phần trăm lên 65 phần trăm","Đội phát triển","Kiểm thử","SHOULD","Đợt 1","L","R10","TCK-B010","Tầng repository chứa toàn bộ logic phân trang keyset, lọc kết hợp và điều kiện tầm nhìn dữ liệu - nơi dễ phát sinh rò rỉ dữ liệu giữa phòng ban nhất","AC-1 [EC-0 happy]: Given bộ test repository ticket; When chạy đo độ phủ; Then đạt tối thiểu 65 phần trăm và ngưỡng sàn được ghi vào cấu hình ratchet.
AC-2 [EC-5 authz]: Given người dùng thuộc phòng ban A; When gọi hàm truy vấn danh sách với mọi tổ hợp bộ lọc hiện có; Then không có tổ hợp nào trả về ticket ngoài phạm vi tầm nhìn được phép.
AC-3 [EC-2 boundary]: Given phân trang keyset; When con trỏ ở phần tử đầu, phần tử cuối và khi danh sách rỗng; Then kết quả đúng ở cả 3 trường hợp biên.","Ưu tiên ticket_repository_impl và các hàm điều kiện tầm nhìn"
"TCK-B014","E04 Đính kèm tệp","Mô hình dữ liệu và API tải lên đính kèm cho ticket","Người dùng cuối","Tính năng","MUST","Đợt 1","M","R2","-","Tính năng nền tảng của mọi hệ ITSM; hiện người dùng không gửi được ảnh lỗi, log hay chứng từ","BR-1: Đính kèm luôn thuộc về đúng một ticket hoặc đúng một bình luận, không bao giờ thuộc cả hai.
AC-1 [EC-0 happy]: Given người dùng có quyền xem ticket; When tải lên một tệp PNG 2MB; Then trả 201 kèm mã đính kèm, tên tệp gốc, kích thước và người tải lên, và bản ghi xuất hiện trong danh sách đính kèm của ticket.
AC-2 [EC-2 boundary]: Given giới hạn kích thước là 25MB; When tải lên tệp 25MB; Then thành công; When tải lên tệp 25MB cộng 1 byte; Then trả 413 với mã lỗi ATTACHMENT_TOO_LARGE.
AC-3 [EC-5 authz]: Given người dùng không nhìn thấy ticket theo quy tắc tầm nhìn hiện có; When gọi API tải lên hoặc tải xuống; Then trả 403.
AC-4 [EC-8 dangling]: Given ticket bị xoá; When truy cập đính kèm của nó; Then trả 404 và tệp vật lý được đưa vào hàng đợi dọn dẹp.","Bảng ticket_attachments; lưu trữ theo cấu hình hiện có của hệ thống"
"TCK-B015","E04 Đính kèm tệp","Đính kèm trong bình luận, phân biệt công khai và nội bộ","Nhân viên xử lý","Tính năng","MUST","Đợt 1","M","R2","TCK-B014","Ngăn rò rỉ tài liệu nội bộ ra người yêu cầu - rủi ro bảo mật nếu làm sai","BR-2: Đính kèm gắn với bình luận nội bộ kế thừa tính nội bộ của bình luận đó và không bao giờ hiển thị cho người yêu cầu.
AC-1 [EC-0 happy]: Given nhân viên đính kèm tệp vào một bình luận công khai; When người yêu cầu mở ticket; Then thấy và tải được tệp đó.
AC-2 [EC-5 authz]: Given nhân viên đính kèm tệp vào một ghi chú nội bộ; When người yêu cầu mở ticket hoặc gọi thẳng API tải xuống bằng mã đính kèm; Then trả 403 và tệp không xuất hiện trong danh sách của họ.
AC-3 [EC-7 state]: Given một bình luận nội bộ được chuyển thành công khai; When chuyển; Then hệ thống cảnh báo rõ ràng rằng N tệp đính kèm cũng sẽ trở nên công khai và yêu cầu xác nhận.","Kế thừa cờ is_internal của ticket_comments"
"TCK-B016","E04 Đính kèm tệp","Giao diện kéo thả, dán ảnh và xem trước","Người dùng cuối","UX","MUST","Đợt 1","M","R2","TCK-B014","Ảnh chụp màn hình là loại đính kèm phổ biến nhất trong ITSM; dán trực tiếp giảm ma sát đáng kể","AC-1 [EC-0 happy]: Given người dùng đang ở ô soạn bình luận; When dán ảnh từ clipboard; Then ảnh được tải lên và hiện thumbnail xem trước trước khi gửi.
AC-2 [EC-0 happy]: Given người dùng kéo 3 tệp vào vùng thả; When thả; Then cả 3 được tải lên song song với thanh tiến trình riêng cho từng tệp.
AC-3 [EC-11 failure]: Given một trong 3 tệp tải lên thất bại; When kết thúc; Then 2 tệp thành công vẫn được giữ và tệp lỗi hiện nút thử lại.
AC-4: Given danh sách đính kèm; When kiểm tra bằng axe-core; Then 0 lỗi mức serious và vùng thả có nhãn cho trình đọc màn hình.","Không dùng thư viện ngoài ngoài danh sách CDN được phép"
"TCK-B017","E04 Đính kèm tệp","Kiểm soát loại tệp và quét an toàn","Quản trị viên bảo mật","Bảo mật","MUST","Đợt 1","M","R2","TCK-B014","Cho phép tải tệp tuỳ ý lên hệ thống nội bộ là bề mặt tấn công mới cần được kiểm soát ngay từ đầu","AC-1 [EC-3 invalid]: Given danh sách loại tệp cho phép được cấu hình; When tải lên tệp có phần mở rộng ngoài danh sách; Then trả 415 với mã lỗi ATTACHMENT_TYPE_NOT_ALLOWED.
AC-2 [EC-3 invalid]: Given một tệp thực thi được đổi tên thành đuôi png; When tải lên; Then bị từ chối dựa trên magic byte chứ không dựa vào phần mở rộng.
AC-3 [EC-5 authz]: Given một tệp SVG chứa mã script; When phục vụ tệp cho trình duyệt; Then trả về với Content-Disposition attachment và Content-Type an toàn, không bao giờ render nội tuyến.
AC-4 [EC-11 failure]: Given dịch vụ quét mã độc không phản hồi; When tải lên; Then đính kèm ở trạng thái chờ quét, không tải xuống được, và có nhật ký cảnh báo.","Áp dụng nguyên tắc phục vụ tệp từ domain riêng nếu hạ tầng cho phép"
"TCK-B018","E04 Đính kèm tệp","Chính sách lưu trữ và dọn dẹp đính kèm mồ côi","Quản trị viên hệ thống","Vận hành","COULD","Đợt 1","S","R2","TCK-B014","Kiểm soát chi phí lưu trữ và tuân thủ chính sách giữ dữ liệu","AC-1 [EC-0 happy]: Given một đính kèm đã tải lên nhưng bình luận chưa bao giờ được gửi; When quá 24 giờ; Then tác vụ nền xoá tệp và bản ghi.
AC-2 [EC-6 concurrency]: Given tác vụ dọn dẹp đang chạy; When cùng lúc người dùng gửi bình luận gắn tệp đó; Then tệp không bị xoá nhầm.","Tái dùng cơ chế khoá phân tán JobLocker đã có"
"TCK-B019","E05 Giao tiếp bên ngoài","Kênh email gửi ra cho người yêu cầu bên ngoài","Khách hàng bên ngoài","Tính năng","MUST","Đợt 1","L","R3","-","Hiện hệ thống cho nhập khách ngoài kèm email nhưng không bao giờ gửi được thông báo cho họ - tính năng nửa vời tạo kỳ vọng sai cho người vận hành","BR-3: Người yêu cầu không có tài khoản nội bộ nhận thông báo qua email; người yêu cầu nội bộ tiếp tục nhận qua thông báo trong hệ thống và Lark như hiện tại.
AC-1 [EC-0 happy]: Given ticket có requester_email và không có requester_user_id; When ticket được tạo, có bình luận công khai mới, chuyển sang resolved hoặc closed; Then email được gửi tới đúng địa chỉ đó cho từng sự kiện.
AC-2 [EC-5 authz]: Given một ghi chú nội bộ được thêm; When xử lý thông báo; Then không có email nào được gửi ra ngoài.
AC-3 [EC-11 failure]: Given dịch vụ gửi email lỗi; When gửi; Then thử lại tối đa 3 lần theo cấp số nhân rồi ghi nhật ký thất bại, và luồng nghiệp vụ của ticket không bị chặn.
AC-4 [EC-4 duplicate]: Given cùng một sự kiện được xử lý hai lần; When gửi; Then chỉ đúng một email được gửi đi.","Gỡ giới hạn được ghi trong ticket_comment_service về việc requester ngoài không thể nhận thông báo"
"TCK-B020","E05 Giao tiếp bên ngoài","Liên kết tra cứu ticket bằng token cho khách ngoài","Khách hàng bên ngoài","Tính năng","SHOULD","Đợt 1","M","R3","TCK-B019","Bước đệm chi phí thấp thay cho một cổng khách hàng đầy đủ; cho phép khách theo dõi tiến độ mà không cần tài khoản","AC-1 [EC-0 happy]: Given email thông báo gửi cho khách ngoài; When khách bấm liên kết tra cứu; Then thấy trang chỉ đọc gồm mã ticket, trạng thái, các bình luận công khai và ô trả lời.
AC-2 [EC-5 authz]: Given token của ticket A; When dùng để truy cập ticket B; Then trả 403.
AC-3 [EC-9 time]: Given token có hạn dùng 30 ngày; When truy cập sau khi hết hạn; Then hiển thị trang hết hạn kèm nút yêu cầu gửi lại liên kết.
AC-4 [EC-5 authz]: Given trang tra cứu; When có ghi chú nội bộ trên ticket; Then không có nội dung nội bộ nào xuất hiện trong mã nguồn trang.","Route ngoài nhóm cần xác thực; token ký có hạn, không lưu mật khẩu"
"TCK-B021","E05 Giao tiếp bên ngoài","Đánh giá hài lòng cho khách hàng bên ngoài","Khách hàng bên ngoài","Tính năng","SHOULD","Đợt 1","S","R3","TCK-B020","Hiện chỉ số CSAT chỉ thu được từ người dùng nội bộ, làm sai lệch bức tranh chất lượng dịch vụ","AC-1 [EC-0 happy]: Given ticket của khách ngoài chuyển sang closed; When gửi email đóng ticket; Then email chứa liên kết chấm điểm 1 tới 5.
AC-2 [EC-4 duplicate]: Given khách đã chấm điểm; When mở lại liên kết chấm điểm; Then hiển thị điểm đã chấm ở chế độ chỉ đọc và không cho chấm lại.
AC-3: Given báo cáo CSAT; When lọc theo loại người yêu cầu; Then tách được chỉ số của khách ngoài và người dùng nội bộ.","Tái dùng endpoint CSAT hiện có với lớp xác thực bằng token"
"TCK-B022","E06 Đúng đắn engine","Khoá bi quan khi tự resolve và tự đóng ticket cha","Người yêu cầu","Sửa lỗi","MUST","Đợt 1","M","R8","-","Hai ticket con đóng gần như đồng thời có thể sinh sự kiện và thông báo trùng, gây nhiễu cho người yêu cầu","BR-4: Việc kiểm tra và cập nhật trạng thái ticket cha phải diễn ra trong cùng một giao dịch có khoá dòng.
AC-1 [EC-6 concurrency]: Given ticket cha có 2 con cuối cùng; When cả 2 con được đóng đồng thời trong test chạy song song 50 lần; Then đúng 1 sự kiện chuyển trạng thái cha và đúng 1 thông báo được sinh ra trong mọi lần chạy.
AC-2 [EC-0 happy]: Given luồng đóng tuần tự thông thường; When con cuối cùng đóng; Then hành vi không đổi so với hiện tại.","Áp dụng SELECT FOR UPDATE cho cả autoResolveParent và autoCloseParentIfAllChildrenClosed"
"TCK-B023","E06 Đúng đắn engine","Cho quét SLA đi qua đường điều phối quy trình","Người yêu cầu","Sửa lỗi","MUST","Đợt 1","S","R9","-","Ticket con bị tự đóng bởi quét SLA 7 ngày hiện không kích hoạt tự đóng ticket cha, khiến ticket cha treo vô thời hạn","AC-1 [EC-0 happy]: Given ticket cha có đúng 1 con đang mở; When quét SLA tự đóng con đó vì quá 7 ngày; Then ticket cha cũng được tự đóng và sinh đúng 1 thông báo cho người yêu cầu.
AC-2 [EC-7 state]: Given ticket cha còn con khác chưa đóng; When quét SLA đóng một con; Then ticket cha giữ nguyên trạng thái.
AC-3 [EC-12 migration]: Given các ticket cha đang treo do lỗi này từ trước; When chạy script đối soát một lần; Then chúng được đưa về trạng thái đúng và có nhật ký liệt kê từng ticket được sửa.","Cho sla_service.autoClose gọi propagateSubOrchestration thay vì ghi thẳng SetStatus"
"TCK-B024","E06 Đúng đắn engine","Backend chặn gán người xử lý cho ticket cha","Nhân viên xử lý","Sửa lỗi","SHOULD","Đợt 1","S","R14","-","Giao diện đã chặn nhưng backend vẫn chấp nhận, để lại lỗ hổng cho client cũ hoặc gọi API trực tiếp","BR-5: Ticket kind=process không bao giờ có người xử lý trực tiếp; người xử lý chỉ tồn tại ở ticket con.
AC-1 [EC-7 state]: Given một ticket cha kiểu quy trình; When gọi API gán người xử lý; Then trả 409 với mã lỗi ASSIGN_ON_PROCESS_PARENT.
AC-2 [EC-0 happy]: Given một ticket lá; When gán người xử lý; Then thành công như hiện tại.
AC-3 [EC-12 migration]: Given dữ liệu cũ có ticket cha đã bị gán người; When chạy đối soát; Then liệt kê ra để đội vận hành xử lý, không tự động xoá.","Khoảng trống đã ghi nhận và cố ý hoãn ở phase 479"
"TCK-B025","E07 Thống nhất phân quyền","Chuyển điều kiện gán người xử lý từ phòng ban sang nhóm hỗ trợ","Nhân viên xử lý","Nợ kỹ thuật","MUST","Đợt 1","M","R13","-","Hiện chuyển bước phân quyền theo nhóm còn gán người lại chặn theo phòng ban; vận hành gặp tình huống được chuyển bước nhưng không gán được người","BR-6: Ứng viên hợp lệ để gán một ticket là thành viên của nhóm hỗ trợ gắn với danh mục của ticket đó, không phụ thuộc phòng ban.
AC-1 [EC-0 happy]: Given ticket thuộc danh mục có nhóm hỗ trợ G; When lấy danh sách người có thể gán; Then trả đúng tập thành viên của G, kể cả người thuộc phòng ban khác.
AC-2 [EC-5 authz]: Given một người không thuộc nhóm G; When gán ticket cho người đó; Then trả 403 với mã lỗi ASSIGNEE_NOT_IN_GROUP.
AC-3 [EC-8 dangling]: Given danh mục chưa gán nhóm; When lấy danh sách người có thể gán; Then trả danh sách rỗng kèm thông điệp hướng dẫn cấu hình nhóm, không rơi về hành vi cũ theo phòng ban.
AC-4 [EC-12 migration]: Given ma trận phân quyền hồi quy hiện có; When chạy lại toàn bộ; Then không có trường hợp nào bị nới lỏng quyền ngoài chủ ý.","Sửa assignTicket; hạng mục này phụ thuộc dữ liệu nhóm nên phải sau TCK-B001"
"TCK-B026","E07 Thống nhất phân quyền","Bộ kiểm thử hồi quy ma trận vai trò và hành động","QA","Kiểm thử","SHOULD","Đợt 1","M","R13","TCK-B025","Bảo vệ 40 quyền chi tiết khỏi trôi lệch khi thay đổi mô hình phân quyền","AC-1 [EC-5 authz]: Given ma trận đầy đủ vai trò nhân với hành động của module ticket; When chạy bộ test; Then mỗi ô có kết quả cho phép hoặc từ chối được khẳng định tường minh, không có ô nào bỏ trống.
AC-2: Given thêm một quyền mới; When chạy bộ test; Then test trượt cho tới khi ma trận được bổ sung ô tương ứng.","Mở rộng ticket_v2_authz_matrix_test hiện có"
"TCK-B027","E08 Khả năng tiếp cận","Sửa bảng màu tầng giao diện dùng chung đạt chuẩn WCAG AA","Người dùng khiếm thị màu","Chất lượng","MUST","Đợt 1","L","R7","TCK-B009","Phase 486 dừng ở PARTIAL vì 28 lỗi tương phản; nguyên nhân gốc là nợ toàn dự án từ v2.0.0 chưa đóng","AC-1 [EC-0 happy]: Given trang chi tiết ticket cha, ticket con và danh mục; When quét bằng axe-core ở cả nền sáng và tối; Then 0 lỗi mức serious và critical.
AC-2: Given bảng màu được sửa ở tầng app-shell dùng chung; When quét 3 màn hình bất kỳ của module khác; Then số lỗi tương phản không tăng so với trước khi sửa.
AC-3: Given mọi trạng thái ticket có chip màu; When kiểm tra; Then thông tin trạng thái không chỉ truyền tải bằng màu mà còn bằng nhãn chữ.","Sửa ở tầng biến CSS dùng chung, không vá riêng trang ticket"
"TCK-B028","E08 Khả năng tiếp cận","Cổng kiểm tra a11y trong CI","QA","Kiểm thử","SHOULD","Đợt 1","M","R7","TCK-B027","Ngăn nợ a11y tích tụ trở lại sau khi đã trả xong","AC-1 [EC-0 happy]: Given một pull request làm tăng số lỗi axe mức serious trên bất kỳ màn hình ticket nào; When chạy CI; Then cổng trượt và in ra tên màn hình cùng số lỗi tăng thêm.
AC-2: Given số lỗi giảm; When chạy CI; Then ngưỡng nền được tự động siết xuống mức mới.","Cơ chế ratchet giống ngưỡng độ phủ đang dùng"
"TCK-B029","E09 Tiếp nhận đa kênh","Thay trường kênh bằng trường nguồn với 6 giá trị","Quản lý dịch vụ","Dữ liệu","MUST","Đợt 2","M","R12","-","Trường kênh hiện chỉ có 3 giá trị và gần như 100 phần trăm ticket mang giá trị erp, khiến báo cáo theo kênh vô nghĩa","AC-1 [EC-12 migration]: Given dữ liệu hiện có với channel thuộc erp, lark, email; When chạy migration; Then mọi bản ghi được ánh xạ sang source tương ứng và không có bản ghi nào mang giá trị null.
AC-2 [EC-0 happy]: Given tạo ticket từ giao diện web; When không chỉ định nguồn; Then nguồn mặc định là erp_web.
AC-3 [EC-3 invalid]: Given gọi API với giá trị nguồn ngoài tập cho phép; When tạo ticket; Then trả 400 với mã lỗi INVALID_SOURCE.
AC-4 [EC-12 migration]: Given client cũ vẫn gửi trường channel; When nhận request; Then hệ thống chấp nhận và ánh xạ trong ít nhất một chu kỳ phát hành.","Tập giá trị đề xuất: erp_web, email, phone, chat, lark, walk_in"
"TCK-B030","E09 Tiếp nhận đa kênh","Thu nhận email thành ticket","Nhân viên tiếp nhận","Tính năng","MUST","Đợt 2","XL","R12","TCK-B029","Kênh tiếp nhận phổ biến nhất trong ITSM; hiện hoàn toàn không có cơ chế thu nhận dù enum đã có giá trị email","AC-1 [EC-0 happy]: Given một email gửi tới hộp thư dịch vụ; When bộ thu nhận xử lý; Then một ticket mới được tạo với nguồn email, tiêu đề lấy từ subject, mô tả lấy từ phần thân đã lọc chữ ký, và người yêu cầu được khớp theo địa chỉ gửi.
AC-2 [EC-8 dangling]: Given địa chỉ gửi không khớp người dùng nội bộ nào; When tạo ticket; Then ticket được tạo với người yêu cầu bên ngoài gồm tên và email lấy từ header.
AC-3 [EC-0 happy]: Given email có tệp đính kèm; When xử lý; Then các tệp trở thành đính kèm của ticket theo đúng quy tắc kiểm soát loại và kích thước.
AC-4 [EC-11 failure]: Given hộp thư không truy cập được; When bộ thu nhận chạy; Then ghi nhật ký lỗi, thử lại theo lịch và không mất email khi hộp thư trở lại.
AC-5 [EC-10 scale]: Given 500 email tồn trong hộp thư; When xử lý; Then hoàn tất trong dưới 10 phút và không tạo bản ghi trùng.","Phụ thuộc epic đính kèm E04"
"TCK-B031","E09 Tiếp nhận đa kênh","Ghép email trả lời vào đúng ticket đang mở","Người yêu cầu","Tính năng","MUST","Đợt 2","L","R12","TCK-B030","Không có ghép luồng thì mỗi lần khách trả lời lại sinh một ticket mới, làm nhiễu hàng chờ","BR-7: Email trả lời được ghép vào ticket gốc dựa trên header tham chiếu, và chỉ khi ticket chưa ở trạng thái terminal.
AC-1 [EC-0 happy]: Given một email trả lời có header In-Reply-To trỏ tới thông báo của ticket TCK-100; When xử lý; Then nội dung trở thành bình luận công khai của TCK-100 chứ không tạo ticket mới.
AC-2 [EC-7 state]: Given ticket TCK-100 đã đóng quá 14 ngày; When nhận email trả lời; Then tạo ticket mới có liên kết tham chiếu tới TCK-100.
AC-3 [EC-3 invalid]: Given email trả lời không có header tham chiếu nhưng subject chứa mã TCK-100; When xử lý; Then vẫn ghép đúng vào TCK-100.
AC-4 [EC-11 failure]: Given email tự động trả lời kiểu vắng mặt; When xử lý; Then không tạo bình luận và không kích hoạt vòng lặp gửi thư.","Xử lý header Auto-Submitted và Precedence"
