"Thứ tự","ID","Nhóm","User Story","Trạng thái","Quy mô","Số phiên agent","Giờ thấp","Giờ cao","Rủi ro","Yếu tố chi phối chi phí"
"G01-03","PM-023","G01 Vá lỗi & siết validation","Tạo Sprint với mục tiêu và khung thời gian","MỘT PHẦN","S","1","2","3","Thấp","Một điều kiện validate ở bước chuyển sang ACTIVE cộng ràng buộc bắt buộc ở form."
"G01-04","PM-024","G01 Vá lỗi & siết validation","Validate tên Sprint duy nhất trong dự án","CHƯA CÓ","S","1","3","4","Trung bình","Code rất nhỏ nhưng phải khử trùng dữ liệu tên Sprint đang trùng trước khi tạo được UNIQUE index; đây là phần tốn thời gian thật."
"G01-05","PM-025","G01 Vá lỗi & siết validation","Validate thời lượng Sprint lớn hơn 0","CHƯA CÓ","S","1","2","2","Thấp","Đổi toán tử ở service và ở CHECK constraint, cộng test. Nhỏ nhất toàn bộ backlog."
"G01-06","PM-076","G01 Vá lỗi & siết validation","Chụp ảnh số liệu dự án tự động hằng ngày","MỘT PHẦN","S","1","3","4","Thấp","Logic chụp đã có sẵn ở endpoint thủ công; chỉ cần đăng ký lại tác vụ nền kèm migration và nối vào logic có sẵn."
"G02-01","PM-005","G02 Nền tảng Scrum","Bộ vai trò Scrum chuẩn cho dự án Scrum","CHƯA CÓ","M","2","6","8","Thấp","Phần seed đã nằm ở G00-04 nên ở đây chỉ còn tinh chỉnh ma trận quyền chi tiết, màn hình quản lý vai trò và bộ test phân quyền cho từng vai trò."
"G02-02","PM-009","G02 Nền tảng Scrum","Bộ loại thẻ Scrum Epic, Feature, Story, Task, Sub-task","CHƯA CÓ","M","2","6","8","Trung bình","Cần thêm cột đánh dấu ngữ nghĩa trên bảng loại thẻ để hệ thống biết loại nào là Story. Đây là tiền đề bắt buộc của G03-01 nên thiết kế sai ở đây sẽ đội chi phí toàn nhóm G03."
"G02-03","PM-010","G02 Nền tảng Scrum","Ràng buộc phân cấp cha con theo loại thẻ","CHƯA CÓ","S","1","3","3","Thấp","Chỉ là seed dữ liệu luật cho template Scrum; hạ tầng luật và API cấu hình đã có đầy đủ."
"G02-04","PM-028","G02 Nền tảng Scrum","Tách quyền bắt đầu và kết thúc Sprint","MỘT PHẦN","S","1","3","4","Thấp","Thêm 2 permission key, migration seed, đổi khai báo route và gán vào ma trận quyền."
"G03-01","PM-040","G03 Story và Sub-task trong Sprint","Đưa User Story kèm toàn bộ Sub-task vào Sprint","CHƯA CÓ","XL","5-7","24","32","Cao","HẠNG MỤC ĐẮT NHẤT VÀ RỦI RO NHẤT. Migration thêm cột gốc sprint item cộng backfill; đổi quy tắc từ has_children sang loại thẻ; sửa 6 điểm truy vấn; tách 2 bề mặt truy vấn cho Story View và Task View; vá lỗi tổng Story Point phồng; cập nhật có chủ đích guard test. Hồi quy lan sang báo cáo Sprint, Velocity và Release."
"G03-02","PM-041","G03 Story và Sub-task trong Sprint","Sub-task kế thừa Sprint từ User Story cha","CHƯA CÓ","L","3-4","12","16","Cao","Cascade theo nhánh cây ltree trong một giao dịch, bắt buộc đi qua đường ghi duy nhất được phép, và bắt buộc KHÔNG kích hoạt rollup. Cộng hook ở bước tạo node để xử lý Sub-task tạo sau, và cascade ngược khi gỡ khỏi Sprint."
"G03-03","PM-043","G03 Story và Sub-task trong Sprint","Chặn Story chuyển sang Done khi còn Sub-task dở dang","CHƯA CÓ","M","2","8","10","Cao","Code không nhiều nhưng phải đặt đúng chỗ: nhánh riêng trong UpdateNode, tuyệt đối không đụng hàm đánh giá transition đang bị 3 test pin. Cần truy vấn trạng thái node con mà không tạo truy vấn thừa."
"G03-04","PM-042","G03 Story và Sub-task trong Sprint","Bắt buộc Assignee và Estimate khi Story vào Sprint","CHƯA CÓ","M","2","6","8","Trung bình","Duyệt toàn nhánh cây khi thêm vào Sprint, gom danh sách hạng mục thiếu thông tin, trả về payload lỗi có cấu trúc và hộp thoại hiển thị ở FE."
"G04-01","PM-049","G04 Sprint Review","Mở phiên Sprint Review khi kết thúc Sprint","CHƯA CÓ","L","3","12","16","Trung bình","Thêm trạng thái IN_REVIEW vào state machine hiện có là phần tinh tế nhất vì luồng trạng thái Sprint đang được test khóa chặt. Cộng bảng phiên Review, permission và khung màn hình."
"G04-02","PM-050","G04 Sprint Review","Product Owner nghiệm thu Accept hoặc Reject từng Story","CHƯA CÓ","M-L","3","10","14","Thấp","Xây mới hoàn toàn: bảng kết quả nghiệm thu, API, danh sách Story kèm hai hành động, bảng tổng kết. Greenfield nên agent làm nhanh."
"G04-03","PM-051","G04 Sprint Review","Story bị từ chối tự động dội về Backlog","MỘT PHẦN","S-M","1","4","6","Thấp","RẺ NHẤT TRONG EPIC. Cơ chế trả về Backlog kèm lý do bắt buộc đã hoàn chỉnh; chỉ cần thêm một loại kích hoạt mới và nối vào luồng nghiệm thu, cộng cascade theo nhánh cây."
"G04-04","PM-052","G04 Sprint Review","Ghi nhận phản hồi của Stakeholder trong buổi Review","CHƯA CÓ","M","2","6","8","Thấp","Bảng mới, API CRUD, giao diện ghi phản hồi gắn với Story hoặc toàn Sprint. Greenfield."
"G04-05","PM-053","G04 Sprint Review","Tạo nhanh User Story mới từ phản hồi Review","CHƯA CÓ","S-M","1","4","6","Thấp","API tạo node backlog từ phản hồi, hộp thoại cho sửa nội dung trước khi tạo, lưu liên kết hai chiều."
"G05-01","PM-054","G05 Sprint Retrospective","Tạo phiên Retro theo mẫu có sẵn","CHƯA CÓ","L","3-4","14","18","Thấp","Ba bảng mới, CRUD đầy đủ, hệ mẫu bảng, và giao diện bảng nhiều cột có kéo thả ghi chú. Khối lượng lớn nhưng greenfield hoàn toàn, không đụng code cũ nên agent chạy nhanh và ít vòng sửa."
"G05-02","PM-055","G05 Sprint Retrospective","Ghi ý kiến ở chế độ ẩn danh","CHƯA CÓ","S","1","3","4","Thấp","Một cờ trên phiên Retro cộng lọc bỏ mã người viết ở tầng serializer. Chi phí chính là test chứng minh danh tính không rò ra ở tầng API."
"G05-03","PM-056","G05 Sprint Retrospective","Bỏ phiếu chọn vấn đề ưu tiên (Dot-voting)","CHƯA CÓ","M","2","8","10","Trung bình","Bảng phiếu và hạn mức thì đơn giản; chi phí nằm ở yêu cầu cập nhật theo thời gian thực. Hệ thống chưa có hạ tầng websocket nên phải chọn giữa polling hoặc dựng kênh mới."
"G05-04","PM-057","G05 Sprint Retrospective","Sinh Action Item từ kết luận Retro thành thẻ công việc","CHƯA CÓ","M","2","6","8","Thấp","Bảng Action Item trỏ về WBS node, API tạo thẻ, hiển thị trạng thái ngược lại trên màn hình Retro."
"G05-05","PM-058","G05 Sprint Retrospective","Đưa Action Item vào Sprint Backlog kế tiếp","CHƯA CÓ","S","1","4","4","Thấp","Tận dụng API gán Sprint đã có; phần thêm mới chỉ là chỉ số tỷ lệ hoàn thành qua các Sprint."
"G05-06","PM-059","G05 Sprint Retrospective","Tra cứu lịch sử các phiên Retro đã qua","CHƯA CÓ","M","2","6","8","Thấp","Màn hình danh sách và chi tiết chỉ đọc, cộng tìm kiếm toàn văn trên nội dung ghi chú và Action Item."
"G05-07","PM-060","G05 Sprint Retrospective","Biểu đồ sức khỏe nhóm qua các phiên Retro","CHƯA CÓ","M","2","6","8","Thấp","Thu thập chỉ số ẩn danh, lưu snapshot theo phiên, biểu đồ đường đối chiếu với Velocity cùng kỳ."
"G06-01","PM-035","G06 Bảng Scrum nâng cao","Story View hiển thị thẻ ở cấp User Story","CHƯA CÓ","L","3","12","16","Trung bình","Cơ chế chuyển chế độ xem là phần mới hoàn toàn của bảng. Thanh tiến trình được hưởng lợi từ rollup progress đã có sẵn nên rẻ hơn dự kiến; phần đắt là API trả thêm số liệu tổng hợp Task con và component thẻ dạng Story."
"G06-02","PM-036","G06 Bảng Scrum nâng cao","Task View với Swimlane theo từng User Story","CHƯA CÓ","L","3-4","14","18","Trung bình","Bố cục swimlane là hạng mục FE phức tạp nhất backlog: hàng ngang co giãn, kéo thả trong hàng mà không nhảy hàng, thu gọn từng hàng, và giữ được phản hồi tức thời."
"G06-03","PM-037","G06 Bảng Scrum nâng cao","Mở rộng thẻ để tick nhanh Task và DoD ngay trên bảng","CHƯA CÓ","M","2","8","10","Thấp","Panel mở rộng trên thẻ, API DoD đã có sẵn, phần thêm mới là API cập nhật nhanh trạng thái Task con và xử lý phản hồi lạc quan cho checkbox."
"G06-04","PM-038","G06 Bảng Scrum nâng cao","Thiết lập giới hạn công việc dở dang (WIP Limit)","CHƯA CÓ","M","2","6","8","Thấp","Giao diện đã chừa sẵn trường nên phần hiển thị gần như miễn phí. Chi phí là cột cấu hình mới trong cơ sở dữ liệu, API cấu hình và tùy chọn chặn cứng hay cảnh báo mềm."
"G07-01","PM-016","G07 Kỷ luật Backlog & DoD","Đánh dấu trạng thái tinh chỉnh của hạng mục backlog","CHƯA CÓ","M","2","8","10","Trung bình","Thêm trạng thái độc lập với trạng thái thực thi, không được lẫn với workflow hiện có. Cộng API, bộ lọc, nhóm hiển thị và quyền riêng cho bước duyệt sẵn sàng."
"G07-02","PM-017","G07 Kỷ luật Backlog & DoD","Cảnh báo hạng mục Ready for Sprint còn thiếu thông tin","CHƯA CÓ","M","2","8","10","Thấp","Bộ quy tắc sẵn sàng cấu hình được ở cấp dự án là phần chiếm khối lượng; badge và hộp thoại xác nhận thì nhẹ."
"G07-03","PM-047","G07 Kỷ luật Backlog & DoD","Duyệt ngoại lệ DoD kèm lý do bắt buộc","CHƯA CÓ","M-L","2-3","10","12","Trung bình","Permission mới, endpoint riêng nhận lý do bắt buộc, ghi nhật ký, badge nhận biết trên bảng và trang chi tiết, cộng màn hình tra cứu. Cần cẩn thận để không nới lỏng nhầm cho node của dự án PMI có checklist."
"G07-04","PM-048","G07 Kỷ luật Backlog & DoD","Ghi nhật ký truy vết cho thao tác DoD","CHƯA CÓ","S","1","4","4","Thấp","Thêm lời gọi ghi nhật ký vào 3 phương thức service và hiển thị trên dòng thời gian của thẻ. Ghi vào bảng riêng của module PM nên không đụng hạ tầng dùng chung."
"G07-05","PM-031","G07 Kỷ luật Backlog & DoD","Chuyển hạng mục dở dang sang Sprint kế tiếp (Spillover)","CHƯA CÓ","L","3","10","14","Trung bình","Logic tách Sub-task đã xong và chưa xong là phần tinh tế: phải giữ giờ đã log cho Sprint cũ trong khi chuyển phần dở sang Sprint mới, đồng thời ghi đúng lịch sử hai chiều."
"G07-06","PM-085","G07 Kỷ luật Backlog & DoD","Chống trùng lặp và spam thông báo","MỘT PHẦN","S-M","1","4","6","Thấp","Ba trên bốn cơ chế đã có sẵn; phần thêm mới là chu kỳ nhắc lại thống nhất cấu hình được, áp cho mọi loại cảnh báo lặp."
"G08-01","PM-072","G08 Đo lường & biểu đồ","Biểu đồ Burndown trong Sprint theo từng ngày","MỘT PHẦN","L","3","12","16","Trung bình","Bảng snapshot hằng ngày và tác vụ nền chụp cuối ngày là hạ tầng dùng chung cho cả G08-02 và G08-03. Đường lý tưởng phải loại ngày nghỉ và ngày lễ nên cần nối vào bảng holidays đã có."
"G08-02","PM-073","G08 Đo lường & biểu đồ","Biểu đồ Burnup kiểm soát phình to phạm vi","CHƯA CÓ","S-M","1-2","5","6","Thấp","Dùng lại toàn bộ hạ tầng snapshot của G08-01; chỉ thêm đường tổng khối lượng và đánh dấu điểm phạm vi tăng đột ngột."
"G08-03","PM-074","G08 Đo lường & biểu đồ","Biểu đồ luồng tích lũy (CFD) phát hiện nút thắt","CHƯA CÓ","M","2","8","10","Thấp","Cần thêm một chiều snapshot mới là số thẻ theo từng trạng thái theo ngày, cộng biểu đồ vùng xếp chồng và cảnh báo vùng phình to."
"G09-01","PM-068","G09 Tài chính & tích hợp","Đánh dấu thuộc tính R&D hoặc Thương mại ở cấp Epic, Feature, Story","CHƯA CÓ","M","2","8","10","Trung bình","Mở rộng cờ nhị phân đang có thành phân loại ba giá trị ở cả cấp dự án và cấp node, kèm migration chuyển đổi dữ liệu cũ, API, giao diện và báo cáo theo phân loại."
"G09-02","PM-069","G09 Tài chính & tích hợp","Kế thừa thuộc tính R&D xuống Task và bản ghi giờ công","CHƯA CÓ","M","2","8","10","Trung bình","Logic kế thừa theo nhánh cây thì thẳng thắn; rủi ro nằm ở chỗ timesheet gọi thẳng repository bỏ qua service, nên phải đặt logic đúng tầng mới có hiệu lực."
"G09-03","PM-067","G09 Tài chính & tích hợp","API tích hợp giờ công sang hệ thống HRM và Kế toán","CHƯA CÓ","M-L","2-3","10","12","Trung bình","Endpoint và phân trang thì nhẹ; phần đắt là cơ chế xác thực bằng khóa dịch vụ vốn chưa tồn tại trong hệ thống, phải dựng mới cùng chính sách xoay khóa."
"G09-04","PM-083","G09 Tài chính & tích hợp","Mở rộng kênh Lark cho sự kiện Sprint và giờ công","CHƯA CÓ","M","2","8","10","Thấp","Mẫu gửi Lark đã có sẵn để sao chép cho từng sự kiện mới. Phần thêm mới là nơi lưu cấu hình bật tắt theo loại thông báo cho từng người dùng."
"G10-01","PM-013","G10 Hoàn thiện bộ lọc","Lọc backlog và bảng Scrum theo Epic hoặc Feature","CHƯA CÓ","S-M","1-2","5","6","Thấp","Lọc theo nhánh cây tận dụng được cột path sẵn có; phần lặp lại là áp cùng bộ lọc cho hai màn hình."
"G10-02","PM-014","G10 Hoàn thiện bộ lọc","Lọc backlog và bảng Scrum theo Label","CHƯA CÓ","S-M","1-2","5","6","Thấp","Cột nhãn đã tồn tại và đã hiển thị; chỉ thêm tham số lọc mảng và giao diện đa chọn cho hai màn hình."
"G10-03","PM-015","G10 Hoàn thiện bộ lọc","Xem tổng Story Point của backlog","CHƯA CÓ","S","1","3","3","Thấp","Thêm trường tổng hợp vào phản hồi API và một dòng tổng ở giao diện."
"G10-04","PM-022","G10 Hoàn thiện bộ lọc","Gắn Fix Version cho Epic hoặc Feature chưa hoàn thành","CHƯA CÓ","M","2","8","10","Trung bình","Phải tách rõ hai khái niệm phiên bản dự kiến và hạng mục đã phát hành, nới ràng buộc chỉ nhận hạng mục Done, và tính tiến độ theo nhánh cây."
"G11-01","PM-089","G11 Chuẩn hệ thống","Backend trả mã lỗi thay vì câu chữ tiếng Anh","CHƯA CÓ","L-XL","4-5","16","24","Trung bình","Refactor cơ học nhưng khối lượng lớn trên toàn bộ tầng lỗi của module PM, cộng danh mục mã lỗi có tài liệu. Agent làm tốt loại việc này nhưng số lượng điểm chạm rất nhiều. CHI PHÍ TĂNG THEO THỜI GIAN: nên cân nhắc kéo lên ngay sau G02."
"G11-02","PM-088","G11 Chuẩn hệ thống","Hỗ trợ đa ngôn ngữ tiếng Anh và tiếng Việt","CHƯA CÓ","XL","5-7","24","32","Thấp","Khối lượng lớn nhất nhưng cơ học nhất: cài thư viện, trích xuất hàng trăm chuỗi giao diện, dịch, nút chuyển ngôn ngữ, ghi nhớ theo tài khoản, định dạng ngày và số. Rủi ro thấp nhưng tốn nhiều phiên."
"G11-03","PM-090","G11 Chuẩn hệ thống","Cấu hình múi giờ tập trung mặc định UTC+7","CHƯA CÓ","M-L","3","10","14","Trung bình","Cấu hình tập trung thì nhanh; chi phí thật nằm ở việc rà soát mọi phép tính ranh giới ngày, tuần và tháng trên toàn hệ thống, cộng test cho các trường hợp biên quanh nửa đêm."
"G11-04","PM-087","G11 Chuẩn hệ thống","Kiểm chứng khả năng chịu tải trên 100 người dùng đồng thời","CHƯA CÓ","M","2","6","8","Thấp","Viết kịch bản kiểm thử tải cho các luồng chính, nối vào quy trình tích hợp liên tục và lưu kết quả làm bằng chứng nghiệm thu."
